lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
CHEMBL3265013,CHEMBL3265004,-3.753909,1.761514,-1.046954,-1.07505,-1.020086,2.706955,0.124362,0,1.303975,R-group large
CHEMBL3265013,CHEMBL3265012,-0.389616,0.407636,-0.734946,-0.737008,-0.732888,0.34533,0.39691,0,0,R-group
CHEMBL3265013,CHEMBL3265020,-0.63122,0.425159,-1.193157,-1.197084,-1.18925,0.561937,0.186265,0,0,scaffold hopping
CHEMBL3265013,CHEMBL3265023,-0.618813,0.413584,-0.665693,-0.667579,-0.66381,0.04688,0.909753,0,0,scaffold hopping
CHEMBL3265014,CHEMBL3265006,-1.722466,0.435281,0.44332,0.441481,0.44516,2.165786,0.000000650446,0,0,R-group
CHEMBL3265014,CHEMBL3265022,-0.239077,0.42843,-0.392091,-0.395757,-0.388432,0.153014,0.720979,0,0,scaffold hopping
CHEMBL3265014,CHEMBL3265025,-1.746845,0.437858,0.201289,0.199152,0.203427,1.948134,0.00000861759,0,0,scaffold hopping
CHEMBL3265014,CHEMBL3265028,-0.220947,0.432628,-0.611594,-0.616345,-0.606861,0.390647,0.366546,0,0,scaffold hopping
CHEMBL3265015,CHEMBL3259820,-1.905499,0.422888,-1.101171,-1.103114,-1.099232,0.804328,0.0571727,0,0,scaffold hopping
CHEMBL3265015,CHEMBL3264999,-4.966804,2.091219,-1.941651,-1.948861,-1.934521,3.025153,0.14801,0,1.627519,R-group large
CHEMBL3265015,CHEMBL3265009,-2.499936,0.432412,-0.822408,-0.823722,-0.821097,1.677528,0.000104686,0,0,R-group
CHEMBL3265015,CHEMBL3265011,-0.808215,0.433589,0.841578,0.840677,0.842478,1.649793,0.000141822,0,0,R-group
CHEMBL3265015,CHEMBL3265014,-3.136357,0.429274,-0.925275,-0.926787,-0.923766,2.211082,0.000000259451,0,0,R-group
CHEMBL3265015,CHEMBL3265017,-1.399612,0.423245,-2.015078,-2.023208,-2.00705,0.615466,0.145902,0,0,scaffold hopping
CHEMBL3265016,CHEMBL3265005,-0.142414,0.423135,1.369931,1.357935,1.38213,1.512345,0.000351375,0,0,scaffold hopping
CHEMBL3265016,CHEMBL3265020,-0.275764,0.396292,0.688155,0.673792,0.702702,0.963919,0.0150014,0,0,R-group
CHEMBL3265017,CHEMBL3265002,-4.734504,1.748639,0.872205,0.862638,0.88187,5.606709,0.00134441,0,1.287587,R-group large
CHEMBL3265017,CHEMBL3265016,-0.207456,0.393849,-0.202999,-0.221867,-0.184232,0.004457,0.990971,0,0,R-group
CHEMBL3265017,CHEMBL3265020,1.395258,0.41568,0.485156,0.473928,0.496467,0.910102,0.0285657,0,0,R-group
CHEMBL3265017,CHEMBL3265024,-0.569145,0.411445,-0.298243,-0.319063,-0.2776,0.270902,0.51027,0,0,scaffold hopping
CHEMBL3265017,CHEMBL3265026,-2.476942,0.413978,0.126261,0.112144,0.140415,2.603203,3.21033E-10,0,0,scaffold hopping
CHEMBL3265017,CHEMBL3265027,2.907512,0.406507,1.16032,1.151446,1.169295,1.747192,0.0000172299,0,0,R-group
CHEMBL3265017,CHEMBL3265029,1.522743,0.393303,0.36288,0.350857,0.374975,1.159863,0.00318771,0,0,R-group
CHEMBL3265017,CHEMBL3265032,-0.318009,0.422616,0.419494,0.40786,0.431207,0.737503,0.0809691,0,0,R-group
CHEMBL3265018,CHEMBL3265005,2.048612,0.435918,0.866637,0.860844,0.872465,1.181975,0.00669871,0,0,scaffold hopping
CHEMBL3265018,CHEMBL3265011,1.764745,0.439582,2.55636,2.551026,2.56173,0.791615,0.0717288,0,0,scaffold hopping
CHEMBL3265018,CHEMBL3265019,-0.414826,0.388269,0.411729,0.404672,0.418815,0.826555,0.033269,0,0,R-group
CHEMBL3265019,CHEMBL3265005,0.929021,0.4293,0.454907,0.451458,0.458364,0.474114,0.269425,0,0,scaffold hopping
CHEMBL3265020,CHEMBL3265026,0.886629,0.421779,-0.358895,-0.368691,-0.349145,1.245524,0.00314677,0,0,scaffold hopping
CHEMBL3265021,CHEMBL3265011,1.800479,0.42334,2.258614,2.255127,2.262113,0.458135,0.279168,0,0,scaffold hopping
CHEMBL3265021,CHEMBL3265013,-2.962764,0.419555,1.080271,1.076959,1.083597,4.043035,5.60755E-22,0,0,scaffold hopping
CHEMBL3265021,CHEMBL3265017,0.241691,0.395655,-0.598042,-0.608759,-0.587415,0.839733,0.0338053,0,0,R-group
CHEMBL3265021,CHEMBL3265020,-0.81196,0.395886,-0.112886,-0.119198,-0.10658,0.699074,0.0774215,0,0,R-group
CHEMBL3265021,CHEMBL3265022,1.453075,0.412629,0.099669,0.094401,0.104942,1.353406,0.00103823,0,0,R-group
CHEMBL3265021,CHEMBL3265023,-1.209545,0.42027,0.414578,0.410307,0.41886,1.624123,0.000111328,0,0,R-group
CHEMBL3265021,CHEMBL3265024,-0.269315,0.41847,-0.896285,-0.912189,-0.880647,0.62697,0.13407,0,0,scaffold hopping
CHEMBL3265021,CHEMBL3265035,0.62335,0.426565,-0.186313,-0.193082,-0.179555,0.809663,0.057683,0,0,R-group
CHEMBL3265023,CHEMBL3265020,0.535545,0.421668,-0.527464,-0.532347,-0.522598,1.063009,0.0117034,0,0,R-group
CHEMBL3265023,CHEMBL3265022,0.254535,0.412546,-0.314909,-0.318748,-0.311077,0.569444,0.167489,0,0,R-group
CHEMBL3265023,CHEMBL3265028,1.251913,0.405574,-0.534412,-0.539335,-0.529505,1.786325,0.0000106059,0,0,R-group
CHEMBL3265024,CHEMBL3265008,0.490764,0.430977,2.005493,1.992277,2.01899,1.514729,0.00044035,0,0,scaffold hopping
CHEMBL3265025,CHEMBL3265008,-0.345835,0.431047,0.416159,0.414829,0.41749,0.761994,0.0770986,0,0,scaffold hopping
CHEMBL3265025,CHEMBL3265020,0.591983,0.414183,-0.805935,-0.810288,-0.801602,1.397918,0.000737828,0,0,scaffold hopping
CHEMBL3265027,CHEMBL3265010,-0.479318,0.527736,0.197962,0.19606,0.199865,0.67728,0.199363,0,0.088285,scaffold hopping
CHEMBL3265027,CHEMBL3265020,-2.570373,0.415718,-0.675164,-0.679735,-0.670611,1.895209,0.00000514268,0,0,R-group
CHEMBL3265027,CHEMBL3265030-n,-1.602138,0.423305,-1.144891,-1.153662,-1.136214,0.457247,0.28006,0,0,R-group
CHEMBL3265027,CHEMBL3265033,-0.987933,0.431972,-1.5126,-1.528021,-1.497514,0.524667,0.224524,0,0,R-group large
CHEMBL3265028,CHEMBL3265027,1.778779,0.38711,0.682111,0.677518,0.686723,1.096668,0.0046119,0,0,R-group
CHEMBL3265028,CHEMBL3265030-n,0.208709,0.423106,-0.462779,-0.473928,-0.451708,0.671488,0.112502,0,0,R-group
CHEMBL3265029,CHEMBL3265016,-0.463478,0.405391,-0.565879,-0.58121,-0.550722,0.102401,0.800579,0,0,R-group
CHEMBL3265029,CHEMBL3265027,0.62552,0.379863,0.79744,0.792103,0.802805,0.17192,0.650848,0,0,R-group
CHEMBL3265031,CHEMBL3265024,-0.001573,1.009629,0.294884,0.260984,0.329261,0.296457,0.769041,0,0.561138,scaffold hopping
CHEMBL3265031,CHEMBL3265030-n,0.7241,0.433848,0.608556,0.580047,0.637725,0.115544,0.789989,0,0,scaffold hopping
CHEMBL3265031,CHEMBL3265037,-0.528255,0.432328,-0.687527,-0.780024,-0.601992,0.159272,0.712571,0,0,R-group
CHEMBL3265032,CHEMBL3265022,-0.062584,0.434695,0.278217,0.271953,0.284497,0.340801,0.43304,0,0,R-group large
CHEMBL3265032,CHEMBL3265027,0.531213,0.415186,0.740826,0.735872,0.745803,0.209613,0.613654,0,0,R-group large
CHEMBL3265032,CHEMBL3265033,-0.590682,0.416681,-0.771774,-0.789933,-0.753927,0.181092,0.663848,0,0,R-group
CHEMBL3265033,CHEMBL3265022,-0.262248,1.007832,1.049991,1.033595,1.066715,1.312239,0.192902,0,0.555281,R-group large
CHEMBL3265034,CHEMBL3265026,-0.981461,0.465774,0.126261,0.112144,0.140415,1.107722,0.0173955,0,0.027371,scaffold hopping
CHEMBL3265034,CHEMBL3265027,2.777252,0.422815,1.16032,1.151446,1.169295,1.616932,0.000131194,0,0,R-group large
CHEMBL3265034,CHEMBL3265033,-0.868225,0.42883,-0.35228,-0.374359,-0.330435,0.515945,0.22892,0,0,R-group
CHEMBL3265034,CHEMBL3265037,-0.719979,0.421568,-1.280653,-1.360071,-1.208853,0.560674,0.183527,0,0,R-group
CHEMBL3265035,CHEMBL3264996,-3.674049,5,0.411729,0.405877,0.417601,4.085778,0.413839,13.108979,2.208966,R-group large
CHEMBL3265035,CHEMBL3265024,-0.944098,0.641577,-0.709972,-0.726923,-0.693277,0.234126,0.715169,0,0.202711,scaffold hopping
CHEMBL3265036,CHEMBL3265016,-1.068396,0.423413,-1.275069,-1.287456,-1.262883,0.206673,0.62547,0,0,scaffold hopping
CHEMBL3265036,CHEMBL3265029,-0.029726,0.417031,-0.70919,-0.714732,-0.703675,0.679464,0.103252,0,0,scaffold hopping
CHEMBL3265037,CHEMBL3265032,0.590149,0.410903,1.700147,1.632345,1.775645,1.109998,0.00690558,0,0,R-group
