lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
43,48,3.669882,0.389971,-0.008716,-0.009152,-0.00828,3.678598,3.98507E-21,0,0,R-group
44,68,-3.429216,0.403645,0.170883,0.160704,0.181087,3.600099,4.70629E-19,0,0,R-group
47,20,-1.310714,0.411132,-0.18347,-0.184371,-0.18257,1.127244,0.00611025,0,0,R-group
47,46,-1.815813,0.39981,0.475304,0.474752,0.475857,2.291117,0.0000000100126,0,0,R-group
48,20,-3.903341,0.401849,-0.511399,-0.512138,-0.51066,3.391942,3.15071E-17,0,0,R-group
48,47,-0.102791,0.399247,-0.327929,-0.32853,-0.327328,0.225138,0.572818,0,0,R-group
49,42,-3.84667,0.411743,-0.533872,-0.534544,-0.533201,3.312798,8.56908E-16,0,0,R-group
49,44,-0.900587,0.372481,-2.019534,-2.025581,-2.013545,1.118947,0.00266422,0,0,R-group
49,58,-2.646809,0.387085,-1.201928,-1.203594,-1.200265,1.444881,0.00018942,0,0,R-group
52,19,3.984591,0.432782,2.85176,2.83941,2.864367,1.132831,0.00885619,0,0,R-group
52,46,2.709546,0.411604,2.542399,2.529979,2.555076,0.167147,0.684678,0,0,R-group
52,53,2.893558,0.403233,3.406325,3.394037,3.418871,0.512767,0.203501,0,0,R-group
54,36,-3.159931,0.426,0.74094,0.740561,0.741319,3.900871,5.33729E-20,0,0,R-group
54,70,-2.825682,0.41736,-2.129788,-2.140785,-2.11898,0.695894,0.0954405,0,0,R-group
55,23,3.501887,0.41175,2.727999,2.709533,2.747046,0.773888,0.0601751,0,0,R-group
55,63,3.146192,0.406466,2.079171,2.060332,2.09859,1.067021,0.00866192,0,0,R-group
56,69,1.16479,0.444781,-0.149281,-0.187158,-0.111703,1.314071,0.00313255,0,0,R-group
57,70,1.103363,0.426274,0.170883,0.146203,0.195711,0.93248,0.0287051,0,0,R-group
58,60,0.766728,0.415405,0.991948,0.990203,0.993697,0.22522,0.587702,0,0,R-group
58,63,0.657607,0.390412,0.572978,0.570949,0.57501,0.084629,0.828389,0,0,R-group
58,68,-2.595251,0.391355,-0.646723,-0.652576,-0.6409,1.948528,0.000000639381,0,0,R-group
59,35,-3.954245,0.413276,-2.028812,-2.037158,-2.020575,1.925433,0.00000317825,0,0,R-group
59,47,2.605429,0.397197,-0.218839,-0.219484,-0.218194,2.824268,1.15626E-12,0,0,R-group
59,52,-2.205968,0.409351,-2.285934,-2.298703,-2.273422,0.079966,0.845121,0,0,R-group
62,31,-1.814699,0.422791,-1.594803,-1.596827,-1.592785,0.219896,0.60299,0,0,R-group
62,70,-4.699857,0.401749,-2.618883,-2.629715,-2.608241,2.080974,0.000000222141,0,0,R-group
63,36,-0.737586,0.419745,1.123968,1.123324,1.124613,1.861554,0.00000920875,0,0,R-group
65,20,1.164508,0.41261,0.973928,0.970738,0.977128,0.19058,0.64416,0,0,R-group
65,34,-0.969682,0.417629,-0.48572,-0.494482,-0.477007,0.483962,0.246524,0,0,R-group
65,63,-0.024658,0.38685,0.928628,0.925398,0.93187,0.953286,0.0137309,0,0,R-group
65,64,-0.109644,0.400822,0.065786,0.060717,0.070858,0.17543,0.661621,0,0,R-group
65,70,-2.421353,0.408889,-0.818131,-0.831504,-0.804936,1.603222,0.0000882111,0,0,R-group
67,56,-0.807606,0.429026,-0.322908,-0.349145,-0.296974,0.484698,0.258575,0,0,R-group
67,57,-0.419181,0.426635,-0.231342,-0.25516,-0.207706,0.187839,0.659734,0,0,R-group
67,64,2.147859,0.417737,0.823459,0.811555,0.835508,1.3244,0.00152221,0,0,R-group
68,53,3.052076,0.428656,2.787702,2.78331,2.792125,0.264374,0.537398,0,0,R-group
68,70,0.586624,0.420967,-0.527058,-0.542113,-0.512161,1.113682,0.00815623,0,0,R-group
69,23,2.431623,0.4241,2.807317,2.786285,2.829107,0.375694,0.375692,0,0,R-group
69,53,4.759338,0.417212,3.726489,3.705605,3.748131,1.032849,0.0133013,0,0,R-group
69,60,3.41028,0.41143,2.577459,2.556338,2.599338,0.832821,0.0429485,0,0,R-group
