lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
5f,5l,-0.351136,0.395836,0.170883,0,0.349145,0.522019,0.187244,0,0,R-group
5g,5a,1.413835,0.407333,0.047545,0,0.095244,1.36629,0.000795854,0,0,R-group
5g,5b,0.16926,0.399174,0.332412,0.29385,0.371669,0.163152,0.682743,0,0,R-group
5g,5d,2.095772,0.397545,-0.079318,-0.106401,-0.051215,2.17509,0.0000000446736,0,0,R-group
5g,5h,1.435921,0.402344,0.758118,0.726923,0.790266,0.677803,0.0920591,0,0,R-group
5h,5m,-1.782584,0.401505,-2.645882,-2.715334,-2.582321,0.863298,0.0315429,0,0,R-group
5i,5a,0.260704,0.41064,1.323715,1.279574,1.367736,1.063011,0.00963474,0,0,R-group
5i,5m,0.527861,0.405683,-0.611594,-0.695022,-0.533377,1.139455,0.0049737,0,0,R-group
5i,5o,1.492493,0.433069,0.040982,0,0.082061,1.451511,0.000803211,0,0,R-group
5k,5d,-0.237523,0.396001,0.07851,0.072455,0.084569,0.316033,0.424835,0,0,R-group
5l,5e,2.968482,0.414881,-0.015039,-0.092667,0.071846,2.983521,6.4192E-13,0,0,R-group
5l,5j,0.761222,0.405852,-0.994342,-1.068278,-0.911077,1.755564,0.0000152099,0,0,R-group
5l,5p,2.055376,0.43167,-0.411729,-0.652576,-0.199865,2.467105,0.0000000109538,0,0,R-group
5o,5m,0.212391,0.425341,-0.652576,-0.734637,-0.575824,0.864967,0.0419935,0,0,R-group
5p,5n,-1.252024,0.413666,-0.211865,-0.366015,-0.020138,1.040159,0.0119205,0,0,R-group
8a,5d,-1.881669,1.510381,-0.079318,-0.106401,-0.051215,1.802351,0.232748,0,1.050608,R-group large
8b,8a,1.529169,0.408188,1.126889,1.085334,1.167871,0.40228,0.324366,0,0,R-group
8b,8d,0.259083,0.438977,-0.56101,-0.621305,-0.503295,0.820093,0.0617354,0,0,R-group
8b,8f,0.253296,0.434085,0.119198,0.089268,0.149281,0.134098,0.757382,0,0,R-group
8c,5k,-1.186861,1.397713,-0.842519,-0.853521,-0.831432,0.344342,0.805403,0,0.944231,R-group large
8d,1a,1.441952,1.986128,3.949057,3.90255,3.998552,2.507105,0.206838,0,1.528009,R-group large
8d,8c,0.825156,0.400691,2.372591,2.323742,2.424376,1.547435,0.000112501,0,0,R-group
8d,8f,1.059634,0.448795,0.680209,0.625571,0.737578,0.379425,0.39787,0,0,R-group
8e,5k,-2.092058,1.443546,-0.721582,-0.734323,-0.708703,1.370476,0.342426,0,0.976598,R-group large
8e,8a,0.051552,0.401174,-0.563754,-0.598538,-0.529847,0.615306,0.125088,0,0,R-group
8e,8b,-2.207565,0.41616,-1.690643,-1.716881,-1.664709,0.516922,0.214191,0,0,R-group
8e,8c,-0.14693,0.429336,0.120938,0.103566,0.138361,0.267868,0.532686,0,0,R-group
8f,5m,-2.102829,1.559432,-0.880073,-0.956006,-0.809803,1.222756,0.432979,0,1.102948,R-group large
8f,8a,0.467573,0.42092,1.007691,0.969062,1.045595,0.540118,0.199428,0,0,R-group
